Timestamp,Student ID,Age,Gender,Department,GPA,Satisfaction (1-5),Comments
09/21/2023 18:33:00,STUD8019,20,Male,,1.32,2,Comment 50: The course was great!
09/22/2023 03:32:00,STUD5955,19,Other,Mathematics,3.35,4,This is spam... ignore me
09/23/2023 12:13:00,STUD8372,21,Other,,,7,Comment 52: The course was great!
09/24/2023 02:59:00,STUD5015,,Other,Physics,1.94,6,Comment 53: The course was great!
09/25/2023 11:24:00,STUD2211,,Female,Cell Biology and Genetics,A,,Comment 54: The course was great!
09/26/2023 05:06:00,STUD3317,20,Other,Cell Biology and Genetics,1.57,,This is spam... ignore me
09/27/2023 08:27:00,STUD3203,25,Female,Phys,1.1,2,Comment 56: The course was great!
invalid date,STUD4845,24,Male,Microbio,-1.2,2,
09/29/2023 17:46:00,STUD3403,20,Female,Cell Biology and Genetics,0.52,5,
09/30/2023 13:57:00,STUD7825,25,Other,Geology,,5,This is spam... ignore me
09/01/2023 16:08:00,STUD7930,22,,Cell Biology and Genetics,1.88,5,This is spam... ignore me
09/02/2023 14:35:00,STUD1561,22,Female,Marine Sciences,2.95,5,This is spam... ignore me
09/03/2023 02:52:00,STUD1623,21,,,3.0,5,Comment 62: The course was great!
09/04/2023 13:53:00,STUD7164,23,Male,Maths,2.19,,Comment 63: The course was great!
09/05/2023 05:15:00,STUD5895,24,Male,Physics,2.87,5,This is spam... ignore me
09/06/2023 04:45:00,STUD5081,25,Female,Bio,2.8,4,
09/07/2023 07:49:00,STUD1436,20,,Zoology,2.64,2,Comment 66: The course was great!
09/08/2023 21:16:00,STUD6616,21,Male,Biochemistry,A,1,Comment 67: The course was great!
09/09/2023 04:23:00,STUD5363,21,Other,Zoology,1.49,1,Comment 68: The course was great!
09/10/2023 02:49:00,STUD9991,18,Other,Botany,1.06,5,Comment 69: The course was great!
09/11/2023 16:19:00,STUD1271,,Other,Botany,A,3,
09/12/2023 15:21:00,STUD6884,19,Male,Chemistry,1.95,2,Comment 71: The course was great!
09/13/2023 07:52:00,STUD8971,20,Female,Cell Biology and Genetics,2.02,1,
09/14/2023 13:32:00,STUD4885,22,Female,Physics,2.94,4,Comment 73: The course was great!
09/15/2023 14:39:00,STUD9702,24,Other,,3.83,3,Comment 74: The course was great!
09/16/2023 22:10:00,STUD3784,23,Other,Computer Science,1.51,5,
09/17/2023 14:27:00,STUD6472,20,Male,Microbiology,3.95,2,Comment 76: The course was great!
09/18/2023 09:28:00,STUD9002,15,Male,Marine Sciences,2.48,3,This is spam... ignore me
09/19/2023 21:33:00,STUD6012,18,Male,Mathematics,3.55,5,Comment 78: The course was great!
09/20/2023 10:13:00,STUD9721,25,Other,Mathematics,3.4,1,This is spam... ignore me
09/21/2023 15:03:00,STUD3021,23,,Botany,1.8,7,This is spam... ignore me
09/22/2023 05:43:00,STUD1835,24,Male,Botany,1.12,1,
09/23/2023 20:38:00,STUD6275,,Female,Cell Biology and Genetics,2.04,3,Comment 82: The course was great!
09/24/2023 00:45:00,STUD1651,,Female,Zoology,3.97,,This is spam... ignore me
09/25/2023 08:12:00,STUD7396,19,Malee,Cell Biology and Genetics,2.44,1,Comment 84: The course was great!
09/26/2023 11:38:00,STUD4549,25,Female,Marine Sciences,1.57,1,
09/27/2023 01:30:00,STUD1888,20,Female,Physics,2.14,1,Comment 86: The course was great!
09/28/2023 11:40:00,STUD2962,,Other,Biochemistry,0.36,2,
09/29/2023 19:54:00,STUD5557,23,Other,Mathematics,3.09,3,Comment 88: The course was great!
09/30/2023 18:12:00,STUD4470,20,Female,Computer Science,,,Comment 89: The course was great!
09/01/2023 05:18:00,STUD1241,24,Other,Cell Biology and Genetics,0.8,5,Comment 90: The course was great!
09/02/2023 22:49:00,STUD8314,23,Female,Geology,0.52,1,Comment 91: The course was great!
09/03/2023 09:24:00,STUD2265,20,Male,Physics,3.62,3,This is spam... ignore me
09/04/2023 17:41:00,STUD8476,22,Female,Biochem,3.8,3,Comment 93: The course was great!
09/05/2023 23:21:00,STUD2172,19,,Physics,0.32,4,Comment 94: The course was great!
09/06/2023 15:13:00,STUD5949,18,Other,Cell Bio,,6,Comment 95: The course was great!
09/07/2023 18:55:00,STUD4080,24,Other,Geology,2.61,6,This is spam... ignore me
09/08/2023 02:46:00,STUD9803,22,Other,Microbiology,1.02,3,Comment 97: The course was great!
09/09/2023 15:49:00,STUD6142,24,Female,Mathematics,0.13,1,Comment 98: The course was great!
09/10/2023 08:54:00,STUD5786,22,Other,Cell Biology and Genetics,0.71,3,
09/11/2023 21:10:00,STUD8894,25,Male,,0.55,1,Comment 100: The course was great!
09/12/2023 02:54:00,STUD7015,20,Other,Botany,2.02,5,Comment 101: The course was great!
09/13/2023 13:34:00,STUD4327,18,Other,,0.82,2,
09/14/2023 00:56:00,STUD3521,24,Female,Mathematics,5.0,2,This is spam... ignore me
09/15/2023 07:37:00,STUD4772,21,Other,Microbiology,3.22,1,Comment 104: The course was great!
09/16/2023 01:09:00,STUD5859,19,Other,Microbiology,1.39,4,Comment 105: The course was great!
09/17/2023 19:59:00,STUD7676,23,Other,Chemistry,2.47,1,
09/18/2023 17:34:00,STUD5660,21,Female,Geology,3.2,5,This is spam... ignore me
09/19/2023 11:28:00,STUD8957,18,Female,Geophysics,1.25,3,Comment 108: The course was great!
09/20/2023 22:58:00,STUD3608,22,Female,Cell Biology and Genetics,2.76,4,This is spam... ignore me
09/21/2023 15:29:00,STUD5976,,Other,Cell Biology and Genetics,3.45,,Comment 110: The course was great!
09/22/2023 03:55:00,STUD2301,20,Other,Maths,5.0,5,
09/23/2023 11:11:00,STUD8681,100,Male,Geophysics,1.14,7,Comment 112: The course was great!
09/24/2023 18:27:00,STUD2809,23,Malee,Geology,0.86,,Comment 113: The course was great!
09/25/2023 09:42:00,STUD9214,18,Female,Biochemistry,,3,
09/26/2023 07:37:00,STUD7240,25,Male,Chem,1.26,2,Comment 115: The course was great!
09/27/2023 15:58:00,STUD7695,21,Other,Microbiology,,3,
09/28/2023 15:54:00,STUD9698,20,Other,Computer Science,2.54,1,This is spam... ignore me
09/29/2023 14:24:00,STUD8614,24,,Geophy,0.66,5,Comment 118: The course was great!
09/30/2023 03:59:00,STUD8371,22,Female,Physics,2.21,1,
09/01/2023 06:32:00,STUD2770,19,Male,Computer Science,1.07,4,
09/02/2023 23:18:00,STUD8212,25,Male,Biochemistry,3.28,1,This is spam... ignore me
09/03/2023 17:03:00,STUD6168,,Other,Cell Biology and Genetics,3.87,1,Comment 122: The course was great!
09/04/2023 14:38:00,STUD2090,24,Male,Cell Biology and Genetics,1.61,4,Comment 123: The course was great!
09/05/2023 15:58:00,STUD4123,21,Other,Physics,,,This is spam... ignore me
09/06/2023 05:24:00,STUD3594,24,Male,Marine Sciences,3.55,2,
09/07/2023 03:06:00,STUD5708,25,Male,Zoology,0.76,,Comment 126: The course was great!
09/08/2023 22:32:00,STUD8975,24,Female,Mathematics,2.66,5,Comment 127: The course was great!
09/09/2023 14:45:00,STUD9986,24,Female,Cell Biology and Genetics,3.46,5,Comment 128: The course was great!
09/10/2023 05:18:00,STUD8372,,Female,Biochemistry,2.14,1,
09/11/2023 03:14:00,STUD4873,20,Female,Zoology,2.29,4,This is spam... ignore me
09/12/2023 13:19:00,STUD8415,24,Female,Biochemistry,3.34,0,This is spam... ignore me
09/13/2023 13:07:00,STUD7445,18,Othr,Zoology,0.6,2,
09/14/2023 21:46:00,STUD3080,24,Male,Chemistry,0.48,4,Comment 133: The course was great!
09/15/2023 19:50:00,STUD3952,twenty,Male,Marine Sciences,0.19,4,Comment 134: The course was great!
09/16/2023 15:37:00,STUD9584,24,Female,Computer Science,,3,
09/17/2023 08:14:00,STUD5669,24,Other,Mathematics,3.92,2,Comment 136: The course was great!
09/18/2023 17:57:00,STUD3962,22,Female,Geology,,2,This is spam... ignore me
09/19/2023 07:25:00,STUD4018,21,Female,Geophysics,0.45,5,
09/20/2023 18:26:00,STUD1626,21,Female,Zoology,1.38,5,This is spam... ignore me
09/21/2023 21:07:00,STUD8000,24,,Biochemistry,1.16,4,Comment 140: The course was great!
09/22/2023 13:26:00,STUD2918,24,Male,,,2,Comment 141: The course was great!
09/23/2023 18:45:00,STUD7218,,Male,Geophysics,,2,This is spam... ignore me
09/24/2023 19:21:00,STUD6125,20,Female,Geology,1.79,4,Comment 143: The course was great!
09/25/2023 13:45:00,STUD7182,19,Male,Physics,3.76,3,Comment 144: The course was great!
09/26/2023 15:26:00,STUD8681,18,Other,Biochemistry,2.8,5,
09/27/2023 13:36:00,STUD8131,21,Male,Geology,0.76,1,Comment 146: The course was great!
09/28/2023 22:32:00,STUD7474,,Male,Zoology,1.09,2,
09/29/2023 11:53:00,STUD8338,21,Female,Biochemistry,1.48,,This is spam... ignore me
09/30/2023 00:09:00,STUD5025,24,Female,Geophysics,1.36,7,Comment 149: The course was great!
09/01/2023 23:41:00,STUD7708,22,Other,Marine Sciences,0.64,1,
09/02/2023 21:12:00,STUD1464,100,Other,Microbiology,0.03,5,Comment 151: The course was great!
09/03/2023 15:22:00,STUD7381,19,Female,Marine Sciences,2.31,2,Comment 152: The course was great!
09/04/2023 12:51:00,STUD6406,18,Male,Microbiology,3.09,1,
09/05/2023 22:23:00,STUD2231,20,Other,Marine Sciences,A,4,Comment 154: The course was great!
09/06/2023 18:21:00,STUD6882,20,Female,Geology,1.41,,Comment 155: The course was great!
09/07/2023 08:20:00,STUD3790,twenty,Male,Botany,0.13,1,
09/08/2023 15:55:00,STUD2011,20,Other,Zoology,1.0,0,Comment 157: The course was great!
09/09/2023 01:23:00,STUD1685,21,Male,Geophysics,1.48,6,
09/10/2023 04:14:00,STUD1984,100,,Computer Science,0.24,3,
09/11/2023 09:46:00,STUD8319,19,Other,Biochemistry,2.68,2,Comment 160: The course was great!
09/12/2023 03:25:00,STUD3656,22,Other,,1.82,4,This is spam... ignore me
09/13/2023 02:16:00,STUD8212,19,Female,Geology,0.83,,
09/14/2023 21:39:00,STUD6478,18,Other,Biochemistry,,7,Comment 163: The course was great!
09/15/2023 19:01:00,STUD2716,100,Female,Geophy,3.79,3,
09/16/2023 11:21:00,STUD8860,24,,Cell Biology and Genetics,1.81,2,Comment 165: The course was great!
09/17/2023 20:55:00,STUD5787,24,Female,Geophysics,A,4,This is spam... ignore me
09/18/2023 19:12:00,STUD6922,24,Female,Mathematics,A,5,This is spam... ignore me
09/19/2023 14:43:00,STUD1186,20,Other,Cell Biology and Genetics,1.73,4,
09/20/2023 18:57:00,STUD3680,18,Male,Zoology,2.66,3,Comment 169: The course was great!
09/21/2023 21:29:00,STUD2931,19,Female,Mathematics,0.31,,
09/22/2023 16:56:00,STUD3096,18,Male,Botany,2.27,2,
09/23/2023 06:33:00,STUD3158,18,Male,Geophysics,1.87,3,Comment 172: The course was great!
09/24/2023 19:19:00,STUD7707,25,Other,Chem,,5,
09/25/2023 13:44:00,STUD6191,19,Female,Biochemistry,2.37,1,This is spam... ignore me
09/26/2023 21:09:00,STUD4282,23,Male,Chem,1.46,2,This is spam... ignore me
09/27/2023 08:13:00,STUD3109,22,Female,Zoology,0.79,5,Comment 176: The course was great!
09/28/2023 11:04:00,STUD4587,23,Female,Chemistry,3.29,2,Comment 177: The course was great!
09/29/2023 08:05:00,STUD1604,23,Femal,Computer Science,A,3,Comment 178: The course was great!
09/30/2023 12:23:00,STUD1310,24,Female,Marine Sciences,1.09,3,Comment 179: The course was great!
09/01/2023 00:47:00,STUD8908,25,Female,Marine Sciences,1.76,,This is spam... ignore me
09/02/2023 23:24:00,STUD3593,19,Female,,0.53,0,This is spam... ignore me
09/03/2023 11:07:00,STUD5350,24,Male,Geophysics,1.5,3,Comment 182: The course was great!
09/04/2023 01:22:00,STUD9435,20,Other,Biochemistry,A,5,
09/05/2023 09:52:00,STUD7751,25,Other,Zoology,1.66,4,Comment 184: The course was great!
09/06/2023 18:05:00,STUD3627,15,Male,,0.32,6,Comment 185: The course was great!
09/07/2023 03:15:00,STUD5672,25,Female,Chemistry,3.73,6,This is spam... ignore me
09/08/2023 03:16:00,STUD5768,19,Other,Zoology,1.46,4,
09/09/2023 14:16:00,STUD1943,22,Female,Marine Sciences,0.26,1,This is spam... ignore me
09/10/2023 12:49:00,STUD9091,21,Other,Marine Sci,-1.2,4,Comment 189: The course was great!
09/11/2023 03:30:00,STUD8288,19,Male,Geology,0.57,,Comment 190: The course was great!
09/12/2023 21:22:00,STUD5928,23,Other,Zoology,3.62,4,
09/13/2023 07:22:00,STUD9841,25,Male,Mathematics,0.41,1,This is spam... ignore me
09/14/2023 07:10:00,STUD6950,,,Biochemistry,0.17,1,Comment 193: The course was great!
09/15/2023 12:24:00,STUD1719,24,Male,Computer Science,3.59,2,Comment 194: The course was great!
09/16/2023 07:56:00,STUD5784,19,Female,Biochemistry,1.65,2,
09/17/2023 01:25:00,STUD7311,19,Other,Geology,1.75,4,Comment 196: The course was great!
09/18/2023 19:41:00,STUD2384,18,Othr,Microbiology,1.7,1,Comment 197: The course was great!
09/19/2023 23:49:00,STUD4714,25,Other,,1.28,3,Comment 198: The course was great!
09/20/2023 22:38:00,STUD1763,18,Male,Zoology,2.0,2,Comment 199: The course was great!
09/21/2023 20:18:00,STUD2011,20,Male,Marine Sciences,2.87,2,Comment 200: The course was great!
09/22/2023 09:37:00,STUD4920,22,Male,Chemistry,3.01,5,Comment 201: The course was great!
invalid date,STUD9812,20,Female,Zoo,0.19,5,Comment 202: The course was great!
09/24/2023 00:00:00,STUD8432,25,Female,Geophysics,2.09,3,This is spam... ignore me
09/25/2023 05:50:00,STUD1835,23,Female,Computer Science,3.45,1,Comment 204: The course was great!
09/26/2023 01:10:00,STUD3179,20,Male,Physics,-1.2,3,This is spam... ignore me
09/27/2023 01:05:00,STUD1142,22,Other,,1.62,3,Comment 206: The course was great!
09/28/2023 00:30:00,STUD2678,25,Other,Computer Science,,4,Comment 207: The course was great!
09/29/2023 22:20:00,STUD2543,22,Female,Marine Sciences,2.05,,Comment 208: The course was great!
09/30/2023 02:25:00,STUD6123,24,Female,Geophysics,0.75,1,Comment 209: The course was great!
09/01/2023 06:02:00,STUD9332,19,Female,Botany,2.23,2,Comment 210: The course was great!
09/02/2023 05:35:00,STUD4981,twenty,Other,Cell Biology and Genetics,,2,Comment 211: The course was great!
09/03/2023 23:14:00,STUD9323,24,Male,Biochemistry,0.68,3,Comment 212: The course was great!
09/04/2023 08:51:00,STUD3102,22,Female,Cell Biology and Genetics,1.26,5,This is spam... ignore me
09/05/2023 23:27:00,STUD2565,23,Female,Marine Sciences,2.31,5,Comment 214: The course was great!
09/06/2023 22:26:00,STUD8572,23,Other,Microbiology,0.54,3,
09/07/2023 15:48:00,STUD6450,20,Male,Physics,,0,Comment 216: The course was great!
09/08/2023 20:46:00,STUD6632,22,Male,Botany,-1.2,1,
09/09/2023 23:07:00,STUD4040,21,Male,Biochemistry,3.43,4,This is spam... ignore me
invalid date,STUD3021,18,Male,,5.0,3,Comment 219: The course was great!
09/11/2023 07:46:00,STUD2275,24,Male,Geo,1.78,5,
09/12/2023 22:50:00,STUD5516,19,Other,Marine Sciences,0.44,1,
09/13/2023 17:08:00,STUD8426,23,Female,Geo,0.19,3,
09/14/2023 13:41:00,STUD6567,24,,Physics,0.57,4,
09/15/2023 16:30:00,STUD7148,24,Male,Mathematics,0.43,1,Comment 224: The course was great!
09/16/2023 02:48:00,STUD6327,24,Female,Microbiology,3.85,1,Comment 225: The course was great!
09/17/2023 16:07:00,STUD7561,24,Female,Computer Science,,1,
09/18/2023 09:55:00,STUD6960,24,Female,Geophysics,,4,
09/19/2023 07:21:00,STUD7201,19,Other,Computer Science,2.49,5,
09/20/2023 15:28:00,STUD7568,100,Male,Mathematics,0.23,2,Comment 229: The course was great!
09/21/2023 14:13:00,STUD6753,,Male,Cell Biology and Genetics,1.06,2,Comment 230: The course was great!
09/22/2023 01:49:00,STUD3956,24,Female,,1.8,5,
09/23/2023 03:12:00,STUD2504,25,Other,Zoology,0.98,,Comment 232: The course was great!
09/24/2023 12:49:00,STUD6181,22,Female,Zoology,3.01,5,Comment 233: The course was great!
09/25/2023 01:42:00,STUD3493,25,Male,Chemistry,2.71,1,Comment 234: The course was great!
09/26/2023 07:02:00,STUD4803,18,Other,Geophysics,3.44,4,
09/27/2023 18:43:00,STUD5097,,Other,Marine Sciences,0.45,2,Comment 236: The course was great!
09/28/2023 13:16:00,STUD4014,21,Male,,2.97,5,Comment 237: The course was great!
09/29/2023 23:24:00,STUD6026,25,Other,Botany,0.18,5,
invalid date,STUD2652,21,Female,Physics,2.1,4,Comment 239: The course was great!
09/01/2023 00:12:00,STUD4889,25,Male,Zoology,1.97,1,This is spam... ignore me
09/02/2023 02:28:00,STUD5477,23,Male,Geophysics,3.55,3,Comment 241: The course was great!
09/03/2023 12:28:00,STUD9089,19,Male,Cell Biology and Genetics,1.75,2,Comment 242: The course was great!
09/04/2023 01:03:00,STUD2818,23,Female,Cell Biology and Genetics,0.45,5,This is spam... ignore me
09/05/2023 01:41:00,STUD8637,18,Male,Botany,0.41,1,Comment 244: The course was great!
09/06/2023 15:17:00,STUD4169,19,Malee,Physics,3.38,1,Comment 245: The course was great!
09/07/2023 05:11:00,STUD1437,23,Other,Marine Sciences,2.92,2,Comment 246: The course was great!
09/08/2023 10:43:00,STUD6325,19,Male,Physics,3.9,2,This is spam... ignore me
09/09/2023 19:59:00,STUD7002,21,Other,Mathematics,3.07,0,Comment 248: The course was great!
09/10/2023 11:41:00,STUD6521,19,Female,Computer Science,,1,Comment 249: The course was great!
09/11/2023 17:29:00,STUD9517,23,Male,Physics,3.6,4,Comment 250: The course was great!
09/12/2023 14:33:00,STUD8423,18,Other,Geophysics,0.18,2,Comment 251: The course was great!
09/13/2023 09:01:00,STUD8455,,Male,Biochemistry,1.59,1,Comment 252: The course was great!
09/14/2023 16:29:00,STUD7521,18,Female,,2.84,5,Comment 253: The course was great!
09/15/2023 02:23:00,STUD6175,25,Female,Geology,1.01,3,This is spam... ignore me
09/16/2023 13:53:00,STUD2088,24,Male,Computer Science,2.77,3,Comment 255: The course was great!
09/17/2023 15:05:00,STUD3517,18,,Geology,0.43,1,This is spam... ignore me
09/18/2023 08:01:00,STUD3778,25,Male,Botany,3.31,,
09/19/2023 07:41:00,STUD3870,19,Male,Geophysics,3.14,4,This is spam... ignore me
09/20/2023 10:51:00,STUD1519,24,Female,Computer Science,0.37,2,Comment 259: The course was great!
09/21/2023 22:56:00,STUD1738,24,Other,Zoology,0.56,3,Comment 260: The course was great!
09/22/2023 14:23:00,STUD9855,22,Female,Chemistry,1.71,,This is spam... ignore me
09/23/2023 18:13:00,STUD6373,23,Male,Botany,0.12,3,Comment 262: The course was great!
09/24/2023 18:03:00,STUD4300,21,Femal,,0.69,5,
09/25/2023 03:21:00,STUD7316,23,Other,Geophy,1.04,4,Comment 264: The course was great!
09/26/2023 16:06:00,STUD8452,22,Other,Biochemistry,1.31,1,
09/27/2023 06:05:00,STUD5397,19,Other,Botany,1.77,4,Comment 266: The course was great!
09/28/2023 15:17:00,STUD1941,22,Male,Zoology,1.99,1,
09/29/2023 23:20:00,STUD9263,23,Male,Geophysics,0.46,1,
09/30/2023 22:46:00,STUD7214,24,Female,Physics,3.54,4,Comment 269: The course was great!
09/01/2023 06:04:00,STUD7829,22,Other,Cell Biology and Genetics,0.56,2,This is spam... ignore me
09/02/2023 12:44:00,STUD9489,21,Other,Biochemistry,0.17,2,Comment 271: The course was great!
09/03/2023 06:06:00,STUD2808,24,Male,Geophysics,,4,
09/04/2023 14:01:00,STUD9327,,Other,Biochem,2.66,2,Comment 273: The course was great!
09/05/2023 23:27:00,STUD3143,21,Female,Physics,1.01,3,
09/06/2023 12:57:00,STUD4535,25,Female,Zoo,3.54,1,Comment 275: The course was great!
09/07/2023 09:47:00,STUD5602,20,,Microbiology,1.72,5,Comment 276: The course was great!
09/08/2023 07:02:00,STUD3375,24,Male,Computer Science,3.53,2,This is spam... ignore me
09/09/2023 10:17:00,STUD5496,20,Other,Geophysics,A,4,This is spam... ignore me
09/10/2023 13:14:00,STUD2439,25,Male,Phys,3.83,2,Comment 279: The course was great!
09/11/2023 23:32:00,STUD6407,19,Female,Physics,1.35,2,
09/12/2023 18:55:00,STUD1480,100,Male,Chemistry,0.33,5,Comment 281: The course was great!
09/13/2023 21:17:00,STUD7844,,Other,,2.06,3,This is spam... ignore me
09/14/2023 17:16:00,STUD7130,20,Female,Geophy,,5,Comment 283: The course was great!
09/15/2023 16:51:00,STUD9828,20,Female,Mathematics,2.13,1,This is spam... ignore me
09/16/2023 05:54:00,STUD8640,23,Female,Chemistry,1.29,1,Comment 285: The course was great!
09/17/2023 18:17:00,STUD1670,18,Other,Zoology,2.86,4,
09/18/2023 02:52:00,STUD7437,25,Malee,Microbiology,2.74,5,Comment 287: The course was great!
09/19/2023 01:45:00,STUD9975,20,Male,Botany,2.08,4,
09/20/2023 02:11:00,STUD2925,22,Other,Microbiology,2.4,3,Comment 289: The course was great!
09/21/2023 14:00:00,STUD9354,23,,Microbiology,2.62,,
09/22/2023 16:43:00,STUD8087,18,Other,Geology,2.81,1,This is spam... ignore me
09/23/2023 10:40:00,STUD8789,21,Other,Botany,3.27,1,Comment 292: The course was great!
09/24/2023 11:57:00,STUD9327,18,Female,Geology,,2,
09/25/2023 12:22:00,STUD2111,18,Female,Geophysics,0.16,7,Comment 294: The course was great!
09/26/2023 06:01:00,STUD1151,19,Female,Cell Bio,0.05,,Comment 295: The course was great!
09/27/2023 10:21:00,STUD4087,21,Female,Computer Science,3.74,,Comment 296: The course was great!
09/28/2023 00:23:00,STUD9948,22,Female,Computer Science,3.45,1,This is spam... ignore me
09/29/2023 05:53:00,STUD7043,22,Female,Geophysics,1.09,2,Comment 298: The course was great!
09/30/2023 16:51:00,STUD2705,22,Female,Biochemistry,3.25,4,This is spam... ignore me
09/01/2023 16:41:00,STUD1426,25,Female,Physics,2.68,5,This is spam... ignore me
09/02/2023 06:45:00,STUD4281,,Other,Geophysics,0.42,3,
09/03/2023 11:04:00,STUD6674,24,Female,Chem,1.0,7,Comment 302: The course was great!
09/04/2023 07:13:00,STUD9619,21,,Chemistry,1.25,2,
09/05/2023 03:23:00,STUD5958,25,Other,Geology,0.64,5,Comment 304: The course was great!
09/06/2023 02:28:00,STUD5056,18,Other,Geophy,1.62,3,Comment 305: The course was great!
09/07/2023 21:15:00,STUD7445,21,Female,,2.96,5,
09/08/2023 19:04:00,STUD7816,25,Femal,Geo,3.18,3,Comment 307: The course was great!
09/09/2023 00:42:00,STUD8787,25,Female,Cell Biology and Genetics,2.06,,Comment 308: The course was great!
09/10/2023 04:20:00,STUD6575,19,Other,,1.09,1,
09/11/2023 11:03:00,STUD9307,22,Other,Botany,,1,
09/12/2023 15:24:00,STUD9631,24,Other,Biochemistry,3.91,4,Comment 311: The course was great!
09/13/2023 16:33:00,STUD3578,23,Male,Physics,3.55,3,Comment 312: The course was great!
09/14/2023 07:29:00,STUD3952,23,Other,Botany,2.89,4,
09/15/2023 08:19:00,STUD3252,21,Male,Geology,3.66,4,Comment 314: The course was great!
09/16/2023 12:04:00,STUD2825,22,Female,Microbiology,1.16,5,This is spam... ignore me
09/17/2023 06:34:00,STUD3417,18,Other,Geology,-1.2,3,This is spam... ignore me
09/18/2023 06:39:00,STUD6974,25,Other,,5.0,1,This is spam... ignore me
